Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
Cell Voltage 01,Cell 01,220102,E/50,2.8,4.2,V,7E4
Cell Voltage 02,Cell 02,220102,F/50,2.8,4.2,V,7E4
Cell Voltage 03,Cell 03,220102,G/50,2.8,4.2,V,7E4
Cell Voltage 04,Cell 04,220102,H/50,2.8,4.2,V,7E4
Cell Voltage 05,Cell 05,220102,I/50,2.8,4.2,V,7E4
Cell Voltage 06,Cell 06,220102,J/50,2.8,4.2,V,7E4
Cell Voltage 07,Cell 07,220102,K/50,2.8,4.2,V,7E4
Cell Voltage 08,Cell 08,220102,L/50,2.8,4.2,V,7E4
Cell Voltage 09,Cell 09,220102,M/50,2.8,4.2,V,7E4
Cell Voltage 10,Cell 10,220102,N/50,2.8,4.2,V,7E4
Cell Voltage 11,Cell 11,220102,O/50,2.8,4.2,V,7E4
Cell Voltage 12,Cell 12,220102,P/50,2.8,4.2,V,7E4
Cell Voltage 13,Cell 13,220102,Q/50,2.8,4.2,V,7E4
Cell Voltage 14,Cell 14,220102,R/50,2.8,4.2,V,7E4
Cell Voltage 15,Cell 15,220102,S/50,2.8,4.2,V,7E4
Cell Voltage 16,Cell 16,220102,T/50,2.8,4.2,V,7E4
Cell Voltage 17,Cell 17,220102,U/50,2.8,4.2,V,7E4
Cell Voltage 18,Cell 18,220102,V/50,2.8,4.2,V,7E4
Cell Voltage 19,Cell 19,220102,W/50,2.8,4.2,V,7E4
Cell Voltage 20,Cell 20,220102,X/50,2.8,4.2,V,7E4
Cell Voltage 21,Cell 21,220102,Y/50,2.8,4.2,V,7E4
Cell Voltage 22,Cell 22,220102,Z/50,2.8,4.2,V,7E4
Cell Voltage 23,Cell 23,220102,AA/50,2.8,4.2,V,7E4
Cell Voltage 24,Cell 24,220102,AB/50,2.8,4.2,V,7E4
Cell Voltage 25,Cell 25,220102,AC/50,2.8,4.2,V,7E4
Cell Voltage 26,Cell 26,220102,AD/50,2.8,4.2,V,7E4
Cell Voltage 27,Cell 27,220102,AE/50,2.8,4.2,V,7E4
Cell Voltage 28,Cell 28,220102,AF/50,2.8,4.2,V,7E4
Cell Voltage 29,Cell 29,220102,AG/50,2.8,4.2,V,7E4
Cell Voltage 30,Cell 30,220102,AH/50,2.8,4.2,V,7E4
Cell Voltage 31,Cell 31,220102,AI/50,2.8,4.2,V,7E4
Cell Voltage 32,Cell 32,220102,AJ/50,2.8,4.2,V,7E4
Cell Voltage 33,Cell 33,220103,E/50,2.8,4.2,V,7E4
Cell Voltage 34,Cell 34,220103,F/50,2.8,4.2,V,7E4
Cell Voltage 35,Cell 35,220103,G/50,2.8,4.2,V,7E4
Cell Voltage 36,Cell 36,220103,H/50,2.8,4.2,V,7E4
Cell Voltage 37,Cell 37,220103,I/50,2.8,4.2,V,7E4
Cell Voltage 38,Cell 38,220103,J/50,2.8,4.2,V,7E4
Cell Voltage 39,Cell 39,220103,K/50,2.8,4.2,V,7E4
Cell Voltage 40,Cell 40,220103,L/50,2.8,4.2,V,7E4
Cell Voltage 41,Cell 41,220103,M/50,2.8,4.2,V,7E4
Cell Voltage 42,Cell 42,220103,N/50,2.8,4.2,V,7E4
Cell Voltage 43,Cell 43,220103,O/50,2.8,4.2,V,7E4
Cell Voltage 44,Cell 44,220103,P/50,2.8,4.2,V,7E4
Cell Voltage 45,Cell 45,220103,Q/50,2.8,4.2,V,7E4
Cell Voltage 46,Cell 46,220103,R/50,2.8,4.2,V,7E4
Cell Voltage 47,Cell 47,220103,S/50,2.8,4.2,V,7E4
Cell Voltage 48,Cell 48,220103,T/50,2.8,4.2,V,7E4
Cell Voltage 49,Cell 49,220103,U/50,2.8,4.2,V,7E4
Cell Voltage 50,Cell 50,220103,V/50,2.8,4.2,V,7E4
Cell Voltage 51,Cell 51,220103,W/50,2.8,4.2,V,7E4
Cell Voltage 52,Cell 52,220103,X/50,2.8,4.2,V,7E4
Cell Voltage 53,Cell 53,220103,Y/50,2.8,4.2,V,7E4
Cell Voltage 54,Cell 54,220103,Z/50,2.8,4.2,V,7E4
Cell Voltage 55,Cell 55,220103,AA/50,2.8,4.2,V,7E4
Cell Voltage 56,Cell 56,220103,AB/50,2.8,4.2,V,7E4
Cell Voltage 57,Cell 57,220103,AC/50,2.8,4.2,V,7E4
Cell Voltage 58,Cell 58,220103,AD/50,2.8,4.2,V,7E4
Cell Voltage 59,Cell 59,220103,AE/50,2.8,4.2,V,7E4
Cell Voltage 60,Cell 60,220103,AF/50,2.8,4.2,V,7E4
Cell Voltage 61,Cell 61,220103,AG/50,2.8,4.2,V,7E4
Cell Voltage 62,Cell 62,220103,AH/50,2.8,4.2,V,7E4
Cell Voltage 63,Cell 63,220103,AI/50,2.8,4.2,V,7E4
Cell Voltage 64,Cell 64,220103,AJ/50,2.8,4.2,V,7E4
Cell Voltage 65,Cell 65,220104,E/50,2.8,4.2,V,7E4
Cell Voltage 66,Cell 66,220104,F/50,2.8,4.2,V,7E4
Cell Voltage 67,Cell 67,220104,G/50,2.8,4.2,V,7E4
Cell Voltage 68,Cell 68,220104,H/50,2.8,4.2,V,7E4
Cell Voltage 69,Cell 69,220104,I/50,2.8,4.2,V,7E4
Cell Voltage 70,Cell 70,220104,J/50,2.8,4.2,V,7E4
Cell Voltage 71,Cell 71,220104,K/50,2.8,4.2,V,7E4
Cell Voltage 72,Cell 72,220104,L/50,2.8,4.2,V,7E4
Cell Voltage 73,Cell 73,220104,M/50,2.8,4.2,V,7E4
Cell Voltage 74,Cell 74,220104,N/50,2.8,4.2,V,7E4
Cell Voltage 75,Cell 75,220104,O/50,2.8,4.2,V,7E4
Cell Voltage 76,Cell 76,220104,P/50,2.8,4.2,V,7E4
Cell Voltage 77,Cell 77,220104,Q/50,2.8,4.2,V,7E4
Cell Voltage 78,Cell 78,220104,R/50,2.8,4.2,V,7E4
Cell Voltage 79,Cell 79,220104,S/50,2.8,4.2,V,7E4
Cell Voltage 80,Cell 80,220104,T/50,2.8,4.2,V,7E4
Cell Voltage 81,Cell 81,220104,U/50,2.8,4.2,V,7E4
Cell Voltage 82,Cell 82,220104,V/50,2.8,4.2,V,7E4
Cell Voltage 83,Cell 83,220104,W/50,2.8,4.2,V,7E4
Cell Voltage 84,Cell 84,220104,X/50,2.8,4.2,V,7E4
Cell Voltage 85,Cell 85,220104,Y/50,2.8,4.2,V,7E4
Cell Voltage 86,Cell 86,220104,Z/50,2.8,4.2,V,7E4
Cell Voltage 87,Cell 87,220104,AA/50,2.8,4.2,V,7E4
Cell Voltage 88,Cell 88,220104,AB/50,2.8,4.2,V,7E4
Cell Voltage 89,Cell 89,220104,AC/50,2.8,4.2,V,7E4
Cell Voltage 90,Cell 90,220104,AD/50,2.8,4.2,V,7E4
Cell Voltage 91,Cell 91,220104,AE/50,2.8,4.2,V,7E4
Cell Voltage 92,Cell 92,220104,AF/50,2.8,4.2,V,7E4
Cell Voltage 93,Cell 93,220104,AG/50,2.8,4.2,V,7E4
Cell Voltage 94,Cell 94,220104,AH/50,2.8,4.2,V,7E4
Cell Voltage 95,Cell 95,220104,AI/50,2.8,4.2,V,7E4
Cell Voltage 96,Cell 96,220104,AJ/50,2.8,4.2,V,7E4
Cell Voltage 97,Cell 97,220105,AI/50,2.8,4.2,V,7E4
Cell Voltage 98,Cell 98,220105,AJ/50,2.8,4.2,V,7E4
